,Time,Humidity,Dew point,Day,Month,Year,Temperature,Rain,Cloud,Pressure,Wind,Gust,Dir,Weather
117974,00:00,65.0,19.0,1,1,2021,25.0,0.0,41.0,1012.0,3.0,4.0,241.4,Partly cloudy
117975,03:00,69.0,19.0,1,1,2021,24.0,0.0,69.0,1011.0,12.0,17.0,294.1,Partly cloudy
117976,06:00,78.0,18.0,1,1,2021,23.0,0.0,61.0,1011.0,14.0,20.0,318.5,Cloudy
117977,09:00,55.0,19.0,1,1,2021,25.0,0.0,31.0,1012.0,8.0,10.0,121.2,Partly cloudy
117978,12:00,30.0,14.0,1,1,2021,26.0,0.0,24.0,1011.0,7.0,8.0,100.3,Partly cloudy
117979,15:00,30.0,14.0,1,1,2021,26.0,0.0,39.0,1009.0,13.0,17.0,140.3,Partly cloudy
117980,18:00,58.0,20.0,1,1,2021,25.0,0.0,64.0,1010.0,14.0,21.0,130.2,Partly cloudy
117981,21:00,62.0,21.0,1,1,2021,21.0,0.0,46.0,1011.0,12.0,18.0,111.9,Cloudy
117982,00:00,61.0,16.0,2,1,2021,24.0,0.0,32.0,1011.0,6.0,8.0,119.8,Partly cloudy
117983,03:00,65.0,16.0,2,1,2021,25.0,0.0,52.0,1010.0,8.0,12.0,248.6,Partly cloudy
117984,06:00,65.0,16.0,2,1,2021,24.0,0.0,55.0,1011.0,11.0,15.0,321.7,Partly cloudy
117985,09:00,61.0,16.0,2,1,2021,25.0,0.0,46.0,1012.0,4.0,5.0,263.0,Partly cloudy
117986,12:00,48.0,16.0,2,1,2021,26.0,0.0,63.0,1011.0,3.0,3.0,213.9,Partly cloudy
117987,15:00,45.0,16.0,2,1,2021,25.0,0.1,77.0,1009.0,8.0,12.0,149.5,Cloudy
117988,18:00,51.0,16.0,2,1,2021,24.0,0.0,60.0,1010.0,10.0,15.0,105.9,Patchy rain possible
117989,21:00,57.0,16.0,2,1,2021,20.0,0.0,33.0,1011.0,12.0,19.0,85.6,Partly cloudy
117990,00:00,65.0,16.0,3,1,2021,25.0,0.0,44.0,1011.0,24.0,36.0,71.5,Partly cloudy
117991,03:00,69.0,16.0,3,1,2021,25.0,0.0,62.0,1010.0,15.0,22.0,47.3,Partly cloudy
117992,06:00,73.0,17.0,3,1,2021,25.0,0.0,80.0,1011.0,9.0,12.0,20.3,Cloudy
117993,09:00,65.0,17.0,3,1,2021,26.0,0.0,68.0,1012.0,5.0,7.0,15.7,Cloudy
117994,12:00,51.0,18.0,3,1,2021,27.0,0.0,51.0,1010.0,6.0,8.0,105.9,Partly cloudy
117995,15:00,46.0,18.0,3,1,2021,27.0,0.0,36.0,1008.0,15.0,21.0,115.8,Partly cloudy
117996,18:00,55.0,18.0,3,1,2021,26.0,0.0,25.0,1009.0,21.0,31.0,87.7,Partly cloudy
117997,21:00,58.0,18.0,3,1,2021,26.0,0.1,58.0,1011.0,22.0,34.0,78.9,Partly cloudy
117998,00:00,65.0,18.0,4,1,2021,25.0,0.0,37.0,1010.0,19.0,31.0,62.4,Partly cloudy
117999,03:00,74.0,18.0,4,1,2021,25.0,0.0,32.0,1009.0,13.0,19.0,32.2,Partly cloudy
118000,06:00,83.0,19.0,4,1,2021,25.0,0.0,27.0,1010.0,7.0,10.0,232.6,Partly cloudy
118001,09:00,65.0,19.0,4,1,2021,26.0,0.0,30.0,1011.0,5.0,6.0,282.7,Partly cloudy
118002,12:00,55.0,20.0,4,1,2021,27.0,0.0,43.0,1010.0,8.0,10.0,183.5,Partly cloudy
118003,15:00,49.0,20.0,4,1,2021,26.0,0.1,68.0,1008.0,21.0,28.0,113.7,Partly cloudy
118004,18:00,74.0,23.0,4,1,2021,26.0,0.2,75.0,1009.0,22.0,33.0,96.9,Patchy rain possible
118005,21:00,79.0,23.0,4,1,2021,25.0,0.3,63.0,1010.0,27.0,40.0,81.2,Patchy light drizzle
118006,00:00,84.0,23.0,5,1,2021,26.0,0.5,49.0,1010.0,14.0,21.0,62.0,Light rain shower
118007,03:00,94.0,24.0,5,1,2021,25.0,0.8,82.0,1009.0,7.0,10.0,232.0,Partly cloudy
118008,06:00,89.0,22.0,5,1,2021,25.0,0.5,100.0,1010.0,5.0,7.0,338.1,Light rain
118009,09:00,62.0,20.0,5,1,2021,25.0,0.1,100.0,1011.0,4.0,5.0,346.9,Light drizzle
118010,12:00,44.0,19.0,5,1,2021,26.0,0.0,90.0,1010.0,2.0,3.0,340.5,Overcast
118011,15:00,46.0,19.0,5,1,2021,26.0,0.3,79.0,1009.0,3.0,4.0,149.1,Cloudy
118012,18:00,55.0,20.0,5,1,2021,26.0,0.3,80.0,1010.0,9.0,14.0,44.8,Patchy rain possible
118013,21:00,79.0,23.0,5,1,2021,25.0,0.1,42.0,1011.0,11.0,17.0,25.9,Patchy rain possible
118014,00:00,79.0,22.0,6,1,2021,25.0,0.0,29.0,1011.0,18.0,27.0,64.3,Partly cloudy
118015,03:00,83.0,22.0,6,1,2021,25.0,0.0,47.0,1010.0,13.0,19.0,73.7,Partly cloudy
118016,06:00,83.0,21.0,6,1,2021,25.0,0.1,68.0,1010.0,14.0,21.0,75.2,Partly cloudy
118017,09:00,70.0,22.0,6,1,2021,26.0,0.0,56.0,1011.0,18.0,24.0,67.9,Patchy rain possible
118018,12:00,55.0,21.0,6,1,2021,27.0,0.0,46.0,1009.0,21.0,27.0,74.0,Partly cloudy
118019,15:00,49.0,19.0,6,1,2021,27.0,0.0,53.0,1007.0,24.0,34.0,81.6,Partly cloudy
118020,18:00,79.0,24.0,6,1,2021,26.0,0.0,41.0,1008.0,28.0,40.0,80.1,Partly cloudy
118021,21:00,89.0,25.0,6,1,2021,26.0,0.0,23.0,1009.0,33.0,49.0,79.2,Partly cloudy
118022,00:00,74.0,21.0,7,1,2021,25.0,0.0,30.0,1010.0,27.0,41.0,79.6,Partly cloudy
118023,03:00,79.0,21.0,7,1,2021,25.0,0.0,25.0,1009.0,24.0,36.0,73.8,Partly cloudy
118024,06:00,78.0,20.0,7,1,2021,25.0,0.0,14.0,1009.0,21.0,31.0,65.3,Partly cloudy
118025,09:00,66.0,21.0,7,1,2021,26.0,0.0,7.0,1010.0,16.0,21.0,55.3,Partly cloudy
118026,12:00,59.0,21.0,7,1,2021,28.0,0.0,5.0,1009.0,15.0,19.0,81.3,Partly cloudy
118027,15:00,46.0,19.0,7,1,2021,27.0,0.0,5.0,1007.0,23.0,31.0,95.6,Partly cloudy
118028,18:00,74.0,24.0,7,1,2021,26.0,0.0,5.0,1008.0,29.0,42.0,89.4,Partly cloudy
118029,21:00,79.0,24.0,7,1,2021,26.0,0.0,13.0,1010.0,31.0,46.0,85.5,Partly cloudy
118030,00:00,79.0,22.0,8,1,2021,25.0,0.0,19.0,1010.0,26.0,40.0,75.9,Partly cloudy
118031,03:00,89.0,23.0,8,1,2021,25.0,0.0,22.0,1009.0,22.0,33.0,69.1,Partly cloudy
118032,06:00,94.0,23.0,8,1,2021,24.0,0.0,19.0,1009.0,19.0,28.0,62.1,Partly cloudy
118033,09:00,70.0,23.0,8,1,2021,26.0,0.0,11.0,1011.0,19.0,25.0,71.4,Partly cloudy
118034,12:00,36.0,17.0,8,1,2021,27.0,0.0,8.0,1009.0,23.0,29.0,85.2,Partly cloudy
118035,15:00,38.0,17.0,8,1,2021,27.0,0.0,7.0,1007.0,30.0,41.0,89.1,Partly cloudy
118036,18:00,70.0,22.0,8,1,2021,26.0,0.0,21.0,1008.0,35.0,51.0,84.0,Partly cloudy
118037,21:00,79.0,23.0,8,1,2021,25.0,0.0,36.0,1010.0,39.0,58.0,77.7,Partly cloudy
118038,00:00,89.0,24.0,9,1,2021,25.0,0.0,27.0,1010.0,33.0,50.0,69.8,Partly cloudy
118039,03:00,94.0,24.0,9,1,2021,24.0,0.0,10.0,1009.0,27.0,40.0,58.1,Partly cloudy
118040,06:00,89.0,22.0,9,1,2021,24.0,0.0,6.0,1010.0,18.0,26.0,56.1,Partly cloudy
118041,09:00,66.0,22.0,9,1,2021,25.0,0.0,4.0,1011.0,12.0,15.0,66.8,Partly cloudy
118042,12:00,49.0,21.0,9,1,2021,26.0,0.0,9.0,1010.0,14.0,16.0,92.9,Partly cloudy
118043,15:00,44.0,19.0,9,1,2021,26.0,0.0,15.0,1008.0,26.0,35.0,95.3,Partly cloudy
118044,18:00,74.0,23.0,9,1,2021,25.0,0.0,17.0,1009.0,36.0,49.0,87.7,Partly cloudy
118045,21:00,79.0,23.0,9,1,2021,24.0,0.0,14.0,1011.0,36.0,51.0,81.8,Partly cloudy
118046,00:00,65.0,19.0,10,1,2021,24.0,0.0,21.0,1011.0,32.0,46.0,71.6,Partly cloudy
118047,03:00,65.0,18.0,10,1,2021,23.0,0.0,25.0,1010.0,22.0,33.0,59.6,Partly cloudy
118048,06:00,74.0,18.0,10,1,2021,23.0,0.0,27.0,1010.0,13.0,19.0,41.0,Partly cloudy
118049,09:00,65.0,19.0,10,1,2021,24.0,0.0,29.0,1011.0,6.0,8.0,80.7,Partly cloudy
118050,12:00,49.0,18.0,10,1,2021,25.0,0.0,28.0,1010.0,8.0,10.0,126.4,Partly cloudy
118051,15:00,38.0,16.0,10,1,2021,25.0,0.0,25.0,1008.0,15.0,19.0,120.4,Partly cloudy
118052,18:00,66.0,21.0,10,1,2021,25.0,0.0,27.0,1009.0,24.0,35.0,97.5,Partly cloudy
118053,21:00,74.0,21.0,10,1,2021,25.0,0.0,23.0,1011.0,27.0,41.0,87.5,Partly cloudy
118054,00:00,65.0,17.0,11,1,2021,24.0,0.0,21.0,1011.0,22.0,33.0,64.0,Partly cloudy
118055,03:00,74.0,18.0,11,1,2021,24.0,0.0,28.0,1010.0,12.0,18.0,41.6,Partly cloudy
118056,06:00,78.0,18.0,11,1,2021,24.0,0.0,28.0,1011.0,7.0,9.0,36.5,Partly cloudy
118057,09:00,65.0,19.0,11,1,2021,25.0,0.0,25.0,1012.0,4.0,5.0,120.0,Partly cloudy
118058,12:00,55.0,19.0,11,1,2021,26.0,0.0,21.0,1011.0,7.0,8.0,135.7,Partly cloudy
118059,15:00,49.0,18.0,11,1,2021,26.0,0.0,21.0,1009.0,20.0,27.0,103.9,Partly cloudy
118060,18:00,62.0,20.0,11,1,2021,26.0,0.0,17.0,1010.0,28.0,42.0,88.6,Partly cloudy
118061,21:00,74.0,21.0,11,1,2021,25.0,0.0,27.0,1012.0,24.0,38.0,65.0,Partly cloudy
118062,00:00,78.0,20.0,12,1,2021,25.0,0.0,47.0,1012.0,22.0,34.0,61.1,Cloudy
118063,03:00,78.0,19.0,12,1,2021,24.0,0.0,30.0,1011.0,13.0,19.0,53.2,Partly cloudy
118064,06:00,78.0,18.0,12,1,2021,23.0,0.0,31.0,1012.0,10.0,14.0,37.4,Partly cloudy
