,Time,Humidity,Dew point,Day,Month,Year,Temperature,Rain,Cloud,Pressure,Wind,Gust,Dir,Weather
46022,00:00,88.0,18.0,1,1,2021,11.0,0.0,23.0,1026.0,9.0,16.0,30.4,Partly cloudy
46023,03:00,88.0,18.0,1,1,2021,9.0,0.0,29.0,1026.0,10.0,19.0,17.9,Partly cloudy
46024,06:00,83.0,17.0,1,1,2021,8.0,0.0,30.0,1026.0,12.0,22.0,7.0,Partly cloudy
46025,09:00,73.0,16.0,1,1,2021,12.0,0.0,22.0,1027.0,13.0,17.0,13.8,Partly cloudy
46026,12:00,65.0,16.0,1,1,2021,17.0,0.0,15.0,1025.0,8.0,9.0,29.0,Partly cloudy
46027,15:00,69.0,17.0,1,1,2021,19.0,0.0,9.0,1021.0,5.0,6.0,65.5,Partly cloudy
46028,18:00,73.0,17.0,1,1,2021,16.0,0.0,6.0,1022.0,8.0,12.0,126.5,Partly cloudy
46029,21:00,83.0,18.0,1,1,2021,14.0,0.0,5.0,1024.0,7.0,12.0,126.1,Partly cloudy
46030,00:00,63.0,5.0,2,1,2021,12.0,0.0,7.0,1024.0,5.0,9.0,60.3,Partly cloudy
46031,03:00,62.0,3.0,2,1,2021,11.0,0.0,6.0,1023.0,6.0,10.0,27.7,Partly cloudy
46032,06:00,50.0,-1.0,2,1,2021,10.0,0.0,5.0,1023.0,7.0,13.0,17.0,Partly cloudy
46033,09:00,31.0,-4.0,2,1,2021,14.0,0.0,5.0,1024.0,7.0,10.0,11.5,Partly cloudy
46034,12:00,23.0,-5.0,2,1,2021,19.0,0.0,5.0,1021.0,5.0,5.0,208.8,Partly cloudy
46035,15:00,22.0,-4.0,2,1,2021,21.0,0.0,3.0,1018.0,4.0,4.0,228.6,Partly cloudy
46036,18:00,31.0,-1.0,2,1,2021,20.0,0.0,1.0,1018.0,9.0,16.0,156.3,Partly cloudy
46037,21:00,54.0,3.0,2,1,2021,17.0,0.0,2.0,1020.0,10.0,17.0,137.9,Clear
46038,00:00,67.0,4.0,3,1,2021,15.0,0.0,1.0,1020.0,6.0,9.0,93.6,Clear
46039,03:00,76.0,5.0,3,1,2021,13.0,0.0,6.0,1020.0,6.0,11.0,47.7,Partly cloudy
