,Time,Humidity,Dew point,Day,Month,Year,Temperature,Rain,Cloud,Pressure,Wind,Gust,Dir,Weather
11510,00:00,88.0,18.0,1,1,2021,4.0,0.0,66.0,1026.0,7.0,10.0,136.7,Partly cloudy
11511,03:00,88.0,18.0,1,1,2021,5.0,0.0,60.0,1026.0,7.0,10.0,131.4,Partly cloudy
11512,06:00,83.0,17.0,1,1,2021,4.0,0.0,58.0,1026.0,6.0,8.0,128.6,Partly cloudy
11513,09:00,73.0,16.0,1,1,2021,5.0,0.0,58.0,1026.0,6.0,8.0,137.3,Cloudy
11514,12:00,65.0,16.0,1,1,2021,8.0,0.0,52.0,1024.0,9.0,10.0,150.3,Partly cloudy
11515,15:00,69.0,17.0,1,1,2021,10.0,0.0,28.0,1020.0,11.0,13.0,145.9,Partly cloudy
11516,18:00,73.0,17.0,1,1,2021,10.0,0.0,27.0,1019.0,10.0,13.0,139.4,Partly cloudy
11517,21:00,83.0,18.0,1,1,2021,7.0,0.0,30.0,1022.0,6.0,11.0,141.7,Partly cloudy
11518,00:00,63.0,5.0,2,1,2021,3.0,0.0,30.0,1024.0,6.0,11.0,148.6,Mist
11519,03:00,62.0,3.0,2,1,2021,2.0,0.0,36.0,1024.0,5.0,9.0,145.5,Mist
11520,06:00,50.0,-1.0,2,1,2021,1.0,0.0,36.0,1024.0,4.0,7.0,150.1,Mist
11521,09:00,31.0,-4.0,2,1,2021,4.0,0.0,28.0,1024.0,6.0,9.0,158.8,Partly cloudy
11522,12:00,23.0,-5.0,2,1,2021,10.0,0.0,17.0,1020.0,12.0,14.0,174.0,Partly cloudy
11523,15:00,22.0,-4.0,2,1,2021,13.0,0.0,9.0,1016.0,17.0,19.0,179.1,Partly cloudy
11524,18:00,31.0,-1.0,2,1,2021,12.0,0.0,7.0,1015.0,14.0,18.0,168.9,Partly cloudy
11525,21:00,54.0,3.0,2,1,2021,9.0,0.0,8.0,1018.0,8.0,14.0,160.3,Partly cloudy
11526,00:00,67.0,4.0,3,1,2021,4.0,0.0,11.0,1020.0,6.0,12.0,163.9,Partly cloudy
11527,03:00,76.0,5.0,3,1,2021,3.0,0.0,15.0,1020.0,5.0,10.0,157.3,Partly cloudy
11528,06:00,82.0,6.0,3,1,2021,2.0,0.0,18.0,1021.0,4.0,8.0,141.7,Partly cloudy
11529,09:00,67.0,6.0,3,1,2021,5.0,0.0,19.0,1023.0,5.0,8.0,127.5,Partly cloudy
11530,12:00,34.0,2.0,3,1,2021,11.0,0.0,18.0,1022.0,9.0,10.0,135.2,Partly cloudy
11531,15:00,28.0,1.0,3,1,2021,14.0,0.0,12.0,1018.0,13.0,14.0,141.0,Partly cloudy
11532,18:00,34.0,1.0,3,1,2021,12.0,0.0,19.0,1018.0,12.0,15.0,132.6,Partly cloudy
11533,21:00,55.0,4.0,3,1,2021,8.0,0.0,28.0,1022.0,8.0,14.0,133.7,Partly cloudy
11534,00:00,63.0,5.0,4,1,2021,5.0,0.0,24.0,1023.0,6.0,10.0,143.0,Mist
11535,03:00,67.0,6.0,4,1,2021,4.0,0.0,36.0,1023.0,5.0,9.0,141.9,Mist
11536,06:00,62.0,4.0,4,1,2021,3.0,0.0,41.0,1023.0,4.0,8.0,148.2,Mist
11537,09:00,59.0,6.0,4,1,2021,5.0,0.0,44.0,1023.0,7.0,10.0,159.6,Partly cloudy
11538,12:00,43.0,6.0,4,1,2021,12.0,0.0,35.0,1021.0,12.0,14.0,175.3,Partly cloudy
11539,15:00,35.0,4.0,4,1,2021,15.0,0.0,15.0,1016.0,15.0,18.0,176.7,Partly cloudy
11540,18:00,39.0,3.0,4,1,2021,14.0,0.0,16.0,1016.0,14.0,18.0,163.2,Partly cloudy
11541,21:00,45.0,4.0,4,1,2021,10.0,0.0,32.0,1019.0,8.0,14.0,152.1,Mist
11542,00:00,48.0,5.0,5,1,2021,8.0,0.0,70.0,1020.0,6.0,12.0,161.5,Fog
11543,03:00,59.0,7.0,5,1,2021,5.0,0.0,100.0,1020.0,4.0,8.0,146.2,Fog
11544,06:00,59.0,7.0,5,1,2021,6.0,0.0,97.0,1020.0,4.0,6.0,132.4,Mist
11545,09:00,42.0,4.0,5,1,2021,7.0,0.0,77.0,1021.0,5.0,6.0,133.4,Partly cloudy
11546,12:00,35.0,3.0,5,1,2021,11.0,0.0,48.0,1020.0,8.0,10.0,137.3,Partly cloudy
11547,15:00,33.0,3.0,5,1,2021,13.0,0.0,47.0,1017.0,12.0,14.0,135.2,Partly cloudy
11548,18:00,43.0,5.0,5,1,2021,11.0,0.0,56.0,1017.0,13.0,15.0,125.5,Cloudy
11549,21:00,52.0,6.0,5,1,2021,9.0,0.0,63.0,1020.0,10.0,13.0,126.7,Cloudy
11550,00:00,67.0,8.0,6,1,2021,5.0,0.0,81.0,1021.0,9.0,12.0,136.3,Cloudy
11551,03:00,59.0,8.0,6,1,2021,8.0,0.0,86.0,1020.0,9.0,13.0,142.0,Overcast
11552,06:00,63.0,9.0,6,1,2021,8.0,0.0,95.0,1019.0,9.0,12.0,143.6,Overcast
11553,09:00,68.0,10.0,6,1,2021,9.0,0.0,92.0,1020.0,12.0,14.0,159.8,Cloudy
11554,12:00,52.0,9.0,6,1,2021,12.0,0.0,71.0,1018.0,17.0,20.0,178.6,Partly cloudy
11555,15:00,52.0,9.0,6,1,2021,14.0,0.0,46.0,1014.0,20.0,23.0,180.1,Partly cloudy
11556,18:00,56.0,9.0,6,1,2021,12.0,0.0,49.0,1013.0,17.0,21.0,170.6,Partly cloudy
11557,21:00,64.0,11.0,6,1,2021,9.0,0.0,66.0,1016.0,12.0,17.0,162.6,Mist
11558,00:00,68.0,11.0,7,1,2021,9.0,0.0,93.0,1017.0,11.0,16.0,152.8,Overcast
11559,03:00,68.0,10.0,7,1,2021,8.0,0.0,95.0,1017.0,10.0,14.0,144.8,Overcast
11560,06:00,63.0,9.0,7,1,2021,8.0,0.0,95.0,1017.0,10.0,13.0,138.1,Overcast
11561,09:00,63.0,9.0,7,1,2021,9.0,0.0,91.0,1019.0,10.0,12.0,139.3,Cloudy
11562,12:00,63.0,9.0,7,1,2021,11.0,0.0,83.0,1019.0,13.0,15.0,146.0,Overcast
11563,15:00,59.0,9.0,7,1,2021,11.0,0.0,85.0,1016.0,15.0,17.0,144.8,Partly cloudy
11564,18:00,68.0,10.0,7,1,2021,10.0,0.0,70.0,1017.0,13.0,15.0,135.8,Overcast
11565,21:00,63.0,9.0,7,1,2021,8.0,0.0,97.0,1020.0,10.0,13.0,127.1,Overcast
11566,00:00,68.0,10.0,8,1,2021,7.0,0.0,89.0,1021.0,8.0,10.0,111.6,Cloudy
11567,03:00,68.0,10.0,8,1,2021,6.0,0.0,86.0,1022.0,8.0,11.0,82.3,Overcast
11568,06:00,63.0,8.0,8,1,2021,4.0,0.0,99.0,1023.0,9.0,12.0,57.1,Light snow
11569,09:00,63.0,7.0,8,1,2021,3.0,0.0,92.0,1025.0,10.0,11.0,48.7,Cloudy
11570,12:00,55.0,6.0,8,1,2021,3.0,0.0,71.0,1026.0,11.0,13.0,47.6,Partly cloudy
11571,15:00,59.0,6.0,8,1,2021,4.0,0.0,46.0,1025.0,11.0,13.0,44.0,Partly cloudy
11572,18:00,59.0,6.0,8,1,2021,3.0,0.0,53.0,1024.0,11.0,13.0,47.4,Cloudy
11573,21:00,59.0,5.0,8,1,2021,2.0,0.0,63.0,1026.0,9.0,10.0,40.6,Partly cloudy
11574,00:00,63.0,5.0,9,1,2021,3.0,0.0,35.0,1026.0,7.0,8.0,78.1,Partly cloudy
11575,03:00,58.0,3.0,9,1,2021,2.0,0.0,55.0,1025.0,7.0,9.0,90.4,Cloudy
11576,06:00,62.0,3.0,9,1,2021,2.0,0.0,71.0,1025.0,8.0,9.0,108.2,Partly cloudy
11577,09:00,50.0,0.0,9,1,2021,3.0,0.0,46.0,1025.0,8.0,9.0,122.6,Partly cloudy
11578,12:00,47.0,0.0,9,1,2021,5.0,0.0,41.0,1023.0,10.0,12.0,135.7,Partly cloudy
11579,15:00,44.0,0.0,9,1,2021,8.0,0.0,32.0,1019.0,13.0,15.0,137.8,Partly cloudy
11580,18:00,47.0,0.0,9,1,2021,6.0,0.0,40.0,1018.0,12.0,14.0,134.1,Partly cloudy
11581,21:00,50.0,0.0,9,1,2021,4.0,0.0,70.0,1020.0,9.0,12.0,129.5,Overcast
11582,00:00,58.0,1.0,10,1,2021,3.0,0.0,55.0,1023.0,9.0,11.0,122.2,Partly cloudy
11583,03:00,46.0,-2.0,10,1,2021,2.0,0.0,55.0,1022.0,9.0,11.0,118.1,Partly cloudy
11584,06:00,46.0,-2.0,10,1,2021,2.0,0.0,44.0,1022.0,9.0,11.0,115.3,Partly cloudy
11585,09:00,40.0,-3.0,10,1,2021,2.0,0.0,43.0,1024.0,9.0,10.0,118.6,Partly cloudy
11586,12:00,35.0,-4.0,10,1,2021,5.0,0.0,32.0,1023.0,10.0,11.0,116.2,Partly cloudy
11587,15:00,33.0,-4.0,10,1,2021,7.0,0.0,22.0,1020.0,12.0,14.0,112.3,Partly cloudy
11588,18:00,38.0,-3.0,10,1,2021,6.0,0.0,43.0,1021.0,12.0,15.0,98.1,Cloudy
11589,21:00,38.0,-3.0,10,1,2021,4.0,0.0,66.0,1025.0,12.0,15.0,72.7,Partly cloudy
11590,00:00,40.0,-3.0,11,1,2021,3.0,0.0,69.0,1026.0,13.0,17.0,62.6,Partly cloudy
11591,03:00,37.0,-4.0,11,1,2021,1.0,0.0,53.0,1028.0,19.0,24.0,46.6,Partly cloudy
11592,06:00,37.0,-4.0,11,1,2021,-1.0,0.0,55.0,1031.0,20.0,26.0,47.4,Partly cloudy
11593,09:00,40.0,-3.0,11,1,2021,-1.0,0.1,66.0,1033.0,19.0,24.0,46.2,Ice pellets
11594,12:00,33.0,-4.0,11,1,2021,1.0,0.2,84.0,1034.0,19.0,22.0,43.8,Patchy moderate snow
11595,15:00,35.0,-3.0,11,1,2021,2.0,0.1,50.0,1031.0,18.0,21.0,44.3,Patchy light snow
11596,18:00,41.0,-1.0,11,1,2021,2.0,0.0,46.0,1030.0,16.0,19.0,39.7,Patchy light snow
