,Time,Humidity,Dew point,Day,Month,Year,Temperature,Rain,Cloud,Pressure,Wind,Gust,Dir,Weather
86309,00:00,88.0,18.0,1,1,2021,16.0,0.0,97.0,1022.0,24.0,32.0,237.6,Patchy rain possible
86310,03:00,88.0,18.0,1,1,2021,16.0,0.1,97.0,1020.0,25.0,33.0,354.1,Overcast
86311,06:00,83.0,17.0,1,1,2021,16.0,0.1,99.0,1021.0,24.0,32.0,357.1,Light drizzle
86312,09:00,73.0,16.0,1,1,2021,15.0,0.2,100.0,1023.0,21.0,26.0,350.3,Overcast
86313,12:00,65.0,16.0,1,1,2021,15.0,0.1,100.0,1021.0,19.0,24.0,335.1,Light drizzle
86314,15:00,69.0,17.0,1,1,2021,15.0,0.1,92.0,1019.0,20.0,25.0,343.1,Overcast
86315,18:00,73.0,17.0,1,1,2021,13.0,0.1,87.0,1019.0,18.0,23.0,121.0,Light drizzle
86316,21:00,83.0,18.0,1,1,2021,8.0,0.1,92.0,1020.0,17.0,22.0,2.6,Cloudy
86317,00:00,63.0,5.0,2,1,2021,12.0,0.2,99.0,1020.0,16.0,21.0,224.1,Patchy rain possible
86318,03:00,62.0,3.0,2,1,2021,15.0,0.2,100.0,1019.0,15.0,21.0,328.8,Light drizzle
86319,06:00,50.0,-1.0,2,1,2021,15.0,0.4,100.0,1020.0,14.0,21.0,321.4,Light drizzle
86320,09:00,31.0,-4.0,2,1,2021,15.0,0.4,85.0,1020.0,20.0,27.0,321.3,Light drizzle
86321,12:00,23.0,-5.0,2,1,2021,17.0,0.3,89.0,1019.0,22.0,26.0,331.2,Patchy light drizzle
86322,15:00,22.0,-4.0,2,1,2021,18.0,0.1,89.0,1016.0,19.0,23.0,345.0,Light drizzle
86323,18:00,31.0,-1.0,2,1,2021,17.0,0.0,94.0,1017.0,14.0,18.0,348.7,Cloudy
86324,21:00,54.0,3.0,2,1,2021,17.0,0.0,86.0,1018.0,10.0,14.0,324.4,Overcast
86325,00:00,67.0,4.0,3,1,2021,16.0,0.0,87.0,1018.0,8.0,12.0,306.4,Cloudy
86326,03:00,76.0,5.0,3,1,2021,16.0,0.0,93.0,1017.0,10.0,15.0,303.1,Overcast
86327,06:00,82.0,6.0,3,1,2021,16.0,0.0,93.0,1018.0,14.0,22.0,315.8,Overcast
86328,09:00,67.0,6.0,3,1,2021,16.0,0.1,91.0,1019.0,16.0,24.0,320.8,Overcast
86329,12:00,34.0,2.0,3,1,2021,17.0,0.5,95.0,1018.0,18.0,27.0,323.5,Light drizzle
86330,15:00,28.0,1.0,3,1,2021,17.0,0.5,99.0,1016.0,19.0,28.0,329.3,Light drizzle
86331,18:00,34.0,1.0,3,1,2021,17.0,0.7,97.0,1018.0,20.0,31.0,319.7,Light drizzle
86332,21:00,55.0,4.0,3,1,2021,14.0,0.6,99.0,1019.0,17.0,26.0,310.6,Light rain
86333,00:00,63.0,5.0,4,1,2021,16.0,0.5,100.0,1019.0,16.0,22.0,313.0,Light drizzle
86334,03:00,67.0,6.0,4,1,2021,18.0,0.6,100.0,1017.0,16.0,22.0,327.3,Light drizzle
86335,06:00,62.0,4.0,4,1,2021,17.0,1.2,100.0,1018.0,18.0,28.0,331.8,Light drizzle
86336,09:00,59.0,6.0,4,1,2021,18.0,1.0,93.0,1019.0,21.0,31.0,326.4,Light rain
86337,12:00,43.0,6.0,4,1,2021,19.0,1.0,97.0,1018.0,24.0,34.0,336.4,Light rain
86338,15:00,35.0,4.0,4,1,2021,19.0,0.4,100.0,1016.0,22.0,32.0,348.6,Light rain
86339,18:00,39.0,3.0,4,1,2021,18.0,0.2,88.0,1017.0,19.0,30.0,351.0,Patchy rain possible
86340,21:00,45.0,4.0,4,1,2021,14.0,0.1,87.0,1018.0,15.0,22.0,338.6,Light drizzle
86341,00:00,48.0,5.0,5,1,2021,18.0,0.0,96.0,1018.0,13.0,19.0,316.1,Overcast
86342,03:00,59.0,7.0,5,1,2021,18.0,0.0,94.0,1016.0,14.0,20.0,313.5,Overcast
86343,06:00,59.0,7.0,5,1,2021,17.0,0.1,98.0,1017.0,15.0,24.0,316.7,Overcast
86344,09:00,42.0,4.0,5,1,2021,17.0,0.3,100.0,1018.0,18.0,28.0,316.7,Light drizzle
86345,12:00,35.0,3.0,5,1,2021,18.0,0.5,100.0,1017.0,21.0,30.0,319.5,Light drizzle
86346,15:00,33.0,3.0,5,1,2021,18.0,0.4,100.0,1016.0,21.0,31.0,315.1,Light drizzle
86347,18:00,43.0,5.0,5,1,2021,17.0,0.6,100.0,1016.0,19.0,30.0,309.8,Light drizzle
