,Time,Humidity,Dew point,Day,Month,Year,Temperature,Rain,Cloud,Pressure,Wind,Gust,Dir,Weather
129505,00:00,89.0,22.0,1,1,2021,19.0,2.6,97.0,1020.0,23.0,35.0,39.8,Light rain shower
129506,03:00,83.0,22.0,1,1,2021,19.0,1.7,88.0,1019.0,22.0,31.0,37.5,Moderate or heavy rain shower
129507,06:00,83.0,22.0,1,1,2021,19.0,1.6,95.0,1019.0,23.0,30.0,35.4,Light rain shower
129508,09:00,84.0,23.0,1,1,2021,19.0,1.5,96.0,1021.0,23.0,29.0,34.8,Light rain shower
129509,12:00,84.0,23.0,1,1,2021,19.0,1.0,94.0,1019.0,21.0,26.0,34.3,Light rain
129510,15:00,79.0,22.0,1,1,2021,19.0,1.0,97.0,1017.0,20.0,26.0,33.3,Light rain shower
129511,18:00,83.0,22.0,1,1,2021,18.0,0.9,99.0,1018.0,18.0,24.0,31.4,Light rain
129512,21:00,83.0,22.0,1,1,2021,13.0,0.6,100.0,1019.0,15.0,21.0,25.6,Light rain
129513,00:00,69.0,14.0,2,1,2021,16.0,0.1,97.0,1019.0,13.0,19.0,28.1,Light rain shower
129514,03:00,73.0,15.0,2,1,2021,19.0,0.6,98.0,1018.0,15.0,21.0,28.9,Overcast
129515,06:00,69.0,14.0,2,1,2021,19.0,0.4,99.0,1019.0,17.0,22.0,28.4,Light rain
129516,09:00,73.0,15.0,2,1,2021,19.0,0.7,100.0,1019.0,17.0,22.0,28.4,Patchy rain possible
129517,12:00,64.0,14.0,2,1,2021,19.0,0.7,100.0,1018.0,16.0,20.0,26.4,Light rain
129518,15:00,64.0,14.0,2,1,2021,19.0,0.4,100.0,1016.0,15.0,20.0,27.1,Light rain shower
129519,18:00,69.0,14.0,2,1,2021,19.0,0.1,100.0,1017.0,13.0,18.0,16.2,Light drizzle
129520,21:00,73.0,14.0,2,1,2021,19.0,0.0,90.0,1018.0,9.0,14.0,222.7,Overcast
129521,00:00,83.0,15.0,3,1,2021,17.0,0.0,98.0,1018.0,6.0,9.0,323.5,Overcast
129522,03:00,78.0,14.0,3,1,2021,18.0,0.1,96.0,1016.0,6.0,9.0,288.6,Overcast
129523,06:00,78.0,15.0,3,1,2021,19.0,0.1,98.0,1017.0,6.0,9.0,294.7,Light rain shower
129524,09:00,78.0,15.0,3,1,2021,20.0,0.3,100.0,1018.0,6.0,9.0,308.1,Overcast
129525,12:00,73.0,15.0,3,1,2021,21.0,0.3,100.0,1017.0,7.0,9.0,333.3,Light drizzle
129526,15:00,73.0,15.0,3,1,2021,21.0,0.2,100.0,1015.0,9.0,12.0,346.5,Light drizzle
129527,18:00,78.0,15.0,3,1,2021,20.0,0.3,94.0,1017.0,10.0,14.0,328.2,Light drizzle
129528,21:00,73.0,14.0,3,1,2021,20.0,0.9,97.0,1018.0,10.0,15.0,322.1,Light drizzle
129529,00:00,83.0,15.0,4,1,2021,20.0,0.8,100.0,1018.0,13.0,18.0,339.7,Light drizzle
129530,03:00,83.0,15.0,4,1,2021,20.0,0.6,100.0,1016.0,14.0,19.0,333.8,Light rain
129531,06:00,78.0,15.0,4,1,2021,20.0,0.9,100.0,1017.0,14.0,19.0,331.4,Light drizzle
