,Time,Humidity,Dew point,Day,Month,Year,Temperature,Rain,Cloud,Pressure,Wind,Gust,Dir,Weather
34511,00:00,89.0,22.0,1,1,2021,17.0,0.5,93.0,1019.0,14.0,22.0,10.7,Light rain shower
34512,03:00,83.0,22.0,1,1,2021,19.0,0.5,92.0,1018.0,14.0,22.0,12.7,Overcast
34513,06:00,83.0,22.0,1,1,2021,19.0,1.0,81.0,1018.0,14.0,22.0,12.3,Light rain shower
34514,09:00,84.0,23.0,1,1,2021,20.0,0.8,80.0,1020.0,14.0,21.0,10.3,Light rain shower
34515,12:00,84.0,23.0,1,1,2021,20.0,1.1,89.0,1018.0,15.0,22.0,8.3,Light rain shower
34516,15:00,79.0,22.0,1,1,2021,20.0,0.8,97.0,1017.0,14.0,21.0,11.6,Light rain shower
34517,18:00,83.0,22.0,1,1,2021,19.0,0.8,100.0,1018.0,12.0,19.0,13.3,Light rain shower
34518,21:00,83.0,22.0,1,1,2021,19.0,0.6,98.0,1018.0,10.0,16.0,244.0,Light rain shower
34519,00:00,69.0,14.0,2,1,2021,18.0,0.6,98.0,1018.0,9.0,14.0,336.0,Light rain shower
34520,03:00,73.0,15.0,2,1,2021,18.0,0.5,100.0,1017.0,9.0,15.0,333.8,Light rain shower
34521,06:00,69.0,14.0,2,1,2021,19.0,0.1,100.0,1018.0,11.0,17.0,350.9,Light rain shower
34522,09:00,73.0,15.0,2,1,2021,19.0,0.5,100.0,1019.0,12.0,18.0,123.5,Mist
34523,12:00,64.0,14.0,2,1,2021,20.0,0.3,100.0,1017.0,13.0,18.0,241.8,Light rain shower
34524,15:00,64.0,14.0,2,1,2021,19.0,0.4,98.0,1015.0,11.0,17.0,120.6,Overcast
34525,18:00,69.0,14.0,2,1,2021,19.0,0.2,99.0,1016.0,8.0,14.0,239.8,Light rain shower
34526,21:00,73.0,14.0,2,1,2021,15.0,0.1,100.0,1017.0,7.0,12.0,347.9,Overcast
34527,00:00,83.0,15.0,3,1,2021,15.0,0.2,99.0,1017.0,8.0,13.0,297.8,Light drizzle
34528,03:00,78.0,14.0,3,1,2021,18.0,0.1,95.0,1016.0,9.0,14.0,294.3,Light drizzle
34529,06:00,78.0,15.0,3,1,2021,18.0,0.1,90.0,1017.0,8.0,14.0,295.1,Patchy rain possible
34530,09:00,78.0,15.0,3,1,2021,20.0,0.0,95.0,1018.0,9.0,12.0,308.1,Patchy rain possible
34531,12:00,73.0,15.0,3,1,2021,22.0,0.0,100.0,1016.0,12.0,14.0,316.5,Overcast
34532,15:00,73.0,15.0,3,1,2021,22.0,0.1,100.0,1015.0,12.0,15.0,328.0,Overcast
34533,18:00,78.0,15.0,3,1,2021,21.0,0.2,100.0,1016.0,12.0,18.0,327.1,Patchy rain possible
