,Time,Humidity,Dew point,Day,Month,Year,Temperature,Rain,Cloud,Pressure,Wind,Gust,Dir,Weather
0,00:00,65.0,19.0,1,1,2021,23.0,0.0,26.0,1012.0,18.0,29.0,12.8,Partly cloudy
1,03:00,69.0,19.0,1,1,2021,22.0,0.0,32.0,1011.0,17.0,26.0,11.4,Partly cloudy
2,06:00,78.0,18.0,1,1,2021,21.0,0.0,43.0,1012.0,15.0,25.0,8.0,Partly cloudy
3,09:00,55.0,19.0,1,1,2021,24.0,0.0,36.0,1013.0,19.0,24.0,15.0,Partly cloudy
4,12:00,30.0,14.0,1,1,2021,27.0,0.0,28.0,1012.0,19.0,22.0,14.1,Partly cloudy
5,15:00,30.0,14.0,1,1,2021,29.0,0.0,34.0,1009.0,16.0,21.0,16.4,Partly cloudy
6,18:00,58.0,20.0,1,1,2021,27.0,0.0,28.0,1010.0,13.0,21.0,26.0,Partly cloudy
7,21:00,62.0,21.0,1,1,2021,25.0,0.0,27.0,1012.0,13.0,23.0,29.9,Partly cloudy
8,00:00,61.0,16.0,2,1,2021,23.0,0.0,50.0,1012.0,14.0,22.0,14.8,Partly cloudy
9,03:00,65.0,16.0,2,1,2021,22.0,0.0,36.0,1011.0,13.0,20.0,15.4,Partly cloudy
10,06:00,65.0,16.0,2,1,2021,22.0,0.0,41.0,1011.0,12.0,19.0,12.0,Partly cloudy
11,09:00,61.0,16.0,2,1,2021,25.0,0.0,45.0,1013.0,14.0,18.0,17.7,Partly cloudy
12,12:00,48.0,16.0,2,1,2021,27.0,0.0,62.0,1011.0,13.0,16.0,31.0,Partly cloudy
13,15:00,45.0,16.0,2,1,2021,29.0,0.0,54.0,1009.0,11.0,14.0,35.1,Cloudy
14,18:00,51.0,16.0,2,1,2021,27.0,0.0,46.0,1010.0,7.0,10.0,12.0,Partly cloudy
15,21:00,57.0,16.0,2,1,2021,26.0,0.0,36.0,1011.0,4.0,7.0,16.3,Partly cloudy
16,00:00,65.0,16.0,3,1,2021,24.0,0.0,30.0,1011.0,12.0,19.0,349.1,Partly cloudy
17,03:00,69.0,16.0,3,1,2021,23.0,0.0,24.0,1010.0,11.0,17.0,120.8,Partly cloudy
18,06:00,73.0,17.0,3,1,2021,22.0,0.0,24.0,1011.0,12.0,19.0,8.2,Partly cloudy
19,09:00,65.0,17.0,3,1,2021,25.0,0.0,36.0,1012.0,11.0,14.0,27.3,Partly cloudy
20,12:00,51.0,18.0,3,1,2021,30.0,0.0,45.0,1011.0,10.0,11.0,38.9,Partly cloudy
21,15:00,46.0,18.0,3,1,2021,31.0,0.0,31.0,1008.0,9.0,11.0,86.1,Partly cloudy
22,18:00,55.0,18.0,3,1,2021,28.0,0.0,37.0,1009.0,8.0,13.0,164.3,Partly cloudy
23,21:00,58.0,18.0,3,1,2021,27.0,0.0,46.0,1011.0,8.0,12.0,188.1,Partly cloudy
24,00:00,65.0,18.0,4,1,2021,26.0,0.0,28.0,1011.0,5.0,8.0,131.1,Partly cloudy
25,03:00,74.0,18.0,4,1,2021,25.0,0.0,25.0,1010.0,7.0,11.0,77.2,Partly cloudy
26,06:00,83.0,19.0,4,1,2021,24.0,0.0,23.0,1010.0,8.0,13.0,27.1,Partly cloudy
27,09:00,65.0,19.0,4,1,2021,28.0,0.0,18.0,1012.0,13.0,16.0,28.6,Partly cloudy
28,12:00,55.0,20.0,4,1,2021,32.0,0.0,37.0,1010.0,15.0,18.0,41.5,Partly cloudy
29,15:00,49.0,20.0,4,1,2021,33.0,0.0,53.0,1008.0,14.0,18.0,50.2,Partly cloudy
30,18:00,74.0,23.0,4,1,2021,31.0,0.0,65.0,1008.0,13.0,21.0,67.4,Partly cloudy
31,21:00,79.0,23.0,4,1,2021,27.0,0.0,54.0,1010.0,10.0,17.0,74.0,Cloudy
32,00:00,84.0,23.0,5,1,2021,26.0,0.2,65.0,1011.0,17.0,25.0,68.5,Partly cloudy
33,03:00,94.0,24.0,5,1,2021,25.0,0.7,75.0,1010.0,9.0,13.0,42.5,Patchy light drizzle
34,06:00,89.0,22.0,5,1,2021,25.0,0.3,73.0,1010.0,7.0,11.0,245.2,Patchy light rain
35,09:00,62.0,20.0,5,1,2021,26.0,0.1,65.0,1012.0,13.0,18.0,129.6,Cloudy
36,12:00,44.0,19.0,5,1,2021,27.0,0.2,75.0,1011.0,11.0,14.0,24.1,Patchy rain possible
37,15:00,46.0,19.0,5,1,2021,27.0,0.6,82.0,1009.0,10.0,14.0,208.1,Patchy light drizzle
38,18:00,55.0,20.0,5,1,2021,26.0,0.8,94.0,1010.0,10.0,15.0,289.9,Patchy light rain
39,21:00,79.0,23.0,5,1,2021,25.0,0.3,54.0,1011.0,9.0,14.0,302.8,Light rain
40,00:00,79.0,22.0,6,1,2021,23.0,0.0,17.0,1011.0,6.0,11.0,147.2,Partly cloudy
41,03:00,83.0,22.0,6,1,2021,24.0,0.0,13.0,1010.0,8.0,14.0,44.2,Partly cloudy
42,06:00,83.0,21.0,6,1,2021,23.0,0.0,14.0,1010.0,9.0,15.0,34.2,Partly cloudy
43,09:00,70.0,22.0,6,1,2021,27.0,0.0,22.0,1011.0,14.0,17.0,48.8,Partly cloudy
44,12:00,55.0,21.0,6,1,2021,31.0,0.0,42.0,1010.0,14.0,17.0,67.6,Partly cloudy
45,15:00,49.0,19.0,6,1,2021,31.0,0.0,35.0,1007.0,9.0,11.0,110.0,Partly cloudy
46,18:00,79.0,24.0,6,1,2021,28.0,0.0,28.0,1007.0,10.0,17.0,163.0,Partly cloudy
47,21:00,89.0,25.0,6,1,2021,26.0,0.0,39.0,1009.0,9.0,14.0,166.3,Partly cloudy
48,00:00,74.0,21.0,7,1,2021,25.0,0.0,30.0,1010.0,5.0,8.0,111.8,Partly cloudy
49,03:00,79.0,21.0,7,1,2021,24.0,0.0,25.0,1009.0,3.0,5.0,85.4,Partly cloudy
50,06:00,78.0,20.0,7,1,2021,24.0,0.0,26.0,1010.0,6.0,9.0,25.3,Partly cloudy
51,09:00,66.0,21.0,7,1,2021,26.0,0.0,21.0,1011.0,8.0,10.0,17.4,Partly cloudy
52,12:00,59.0,21.0,7,1,2021,30.0,0.0,25.0,1009.0,7.0,8.0,27.1,Partly cloudy
53,15:00,46.0,19.0,7,1,2021,32.0,0.0,32.0,1007.0,6.0,7.0,36.7,Partly cloudy
54,18:00,74.0,24.0,7,1,2021,30.0,0.0,40.0,1007.0,5.0,8.0,104.6,Partly cloudy
55,21:00,79.0,24.0,7,1,2021,28.0,0.0,68.0,1009.0,8.0,13.0,143.8,Partly cloudy
56,00:00,79.0,22.0,8,1,2021,26.0,0.0,24.0,1010.0,6.0,9.0,122.4,Partly cloudy
57,03:00,89.0,23.0,8,1,2021,25.0,0.0,6.0,1009.0,9.0,13.0,58.4,Partly cloudy
58,06:00,94.0,23.0,8,1,2021,23.0,0.0,7.0,1010.0,12.0,17.0,25.8,Partly cloudy
59,09:00,70.0,23.0,8,1,2021,27.0,0.0,10.0,1011.0,14.0,18.0,45.8,Partly cloudy
60,12:00,36.0,17.0,8,1,2021,31.0,0.0,17.0,1010.0,14.0,16.0,49.6,Partly cloudy
61,15:00,38.0,17.0,8,1,2021,32.0,0.0,45.0,1007.0,12.0,15.0,47.9,Partly cloudy
62,18:00,70.0,22.0,8,1,2021,31.0,0.0,49.0,1008.0,9.0,13.0,106.3,Partly cloudy
63,21:00,79.0,23.0,8,1,2021,27.0,0.1,62.0,1010.0,10.0,15.0,98.8,Partly cloudy
64,00:00,89.0,24.0,9,1,2021,24.0,0.0,6.0,1010.0,12.0,19.0,45.9,Partly cloudy
65,03:00,94.0,24.0,9,1,2021,23.0,0.0,7.0,1010.0,12.0,20.0,35.2,Partly cloudy
66,06:00,89.0,22.0,9,1,2021,22.0,0.0,8.0,1010.0,13.0,20.0,28.8,Partly cloudy
67,09:00,66.0,22.0,9,1,2021,26.0,0.0,9.0,1012.0,15.0,20.0,41.9,Partly cloudy
68,12:00,49.0,21.0,9,1,2021,30.0,0.0,6.0,1011.0,15.0,17.0,33.1,Partly cloudy
69,15:00,44.0,19.0,9,1,2021,31.0,0.0,7.0,1008.0,12.0,14.0,29.5,Partly cloudy
70,18:00,74.0,23.0,9,1,2021,29.0,0.0,26.0,1008.0,8.0,13.0,40.5,Partly cloudy
71,21:00,79.0,23.0,9,1,2021,26.0,0.0,16.0,1011.0,8.0,12.0,79.3,Partly cloudy
72,00:00,65.0,19.0,10,1,2021,25.0,0.0,2.0,1011.0,8.0,9.0,53.2,Partly cloudy
73,03:00,65.0,18.0,10,1,2021,23.0,0.0,2.0,1010.0,9.0,12.0,19.1,Partly cloudy
74,06:00,74.0,18.0,10,1,2021,21.0,0.0,3.0,1011.0,10.0,14.0,19.1,Partly cloudy
75,09:00,65.0,19.0,10,1,2021,24.0,0.0,9.0,1012.0,13.0,16.0,35.1,Partly cloudy
76,12:00,49.0,18.0,10,1,2021,29.0,0.0,14.0,1011.0,12.0,14.0,29.4,Partly cloudy
77,15:00,38.0,16.0,10,1,2021,31.0,0.0,17.0,1008.0,8.0,9.0,29.2,Partly cloudy
78,18:00,66.0,21.0,10,1,2021,29.0,0.0,25.0,1009.0,5.0,8.0,114.9,Partly cloudy
79,21:00,74.0,21.0,10,1,2021,26.0,0.0,23.0,1011.0,10.0,17.0,108.3,Partly cloudy
80,00:00,65.0,17.0,11,1,2021,24.0,0.0,6.0,1011.0,8.0,11.0,56.3,Partly cloudy
81,03:00,74.0,18.0,11,1,2021,22.0,0.0,6.0,1010.0,10.0,16.0,22.7,Partly cloudy
82,06:00,78.0,18.0,11,1,2021,21.0,0.0,6.0,1011.0,10.0,16.0,13.5,Partly cloudy
83,09:00,65.0,19.0,11,1,2021,25.0,0.0,12.0,1013.0,15.0,18.0,30.2,Partly cloudy
84,12:00,55.0,19.0,11,1,2021,30.0,0.0,19.0,1011.0,16.0,19.0,38.9,Partly cloudy
85,15:00,49.0,18.0,11,1,2021,32.0,0.0,25.0,1009.0,15.0,18.0,38.9,Partly cloudy
86,18:00,62.0,20.0,11,1,2021,30.0,0.0,30.0,1010.0,15.0,26.0,40.2,Partly cloudy
87,21:00,74.0,21.0,11,1,2021,26.0,0.0,19.0,1012.0,22.0,36.0,45.3,Partly cloudy
88,00:00,78.0,20.0,12,1,2021,24.0,0.0,6.0,1013.0,18.0,28.0,30.5,Partly cloudy
89,03:00,78.0,19.0,12,1,2021,22.0,0.0,7.0,1012.0,17.0,26.0,23.7,Partly cloudy
90,06:00,78.0,18.0,12,1,2021,21.0,0.0,8.0,1013.0,18.0,28.0,18.0,Partly cloudy
91,09:00,61.0,18.0,12,1,2021,24.0,0.0,6.0,1014.0,22.0,28.0,17.2,Partly cloudy
92,12:00,49.0,18.0,12,1,2021,28.0,0.0,6.0,1013.0,23.0,27.0,19.8,Partly cloudy
93,15:00,38.0,16.0,12,1,2021,30.0,0.0,7.0,1010.0,21.0,26.0,22.0,Partly cloudy
94,18:00,51.0,18.0,12,1,2021,27.0,0.0,4.0,1010.0,18.0,29.0,242.9,Partly cloudy
95,21:00,51.0,16.0,12,1,2021,24.0,0.0,3.0,1012.0,17.0,29.0,133.9,Partly cloudy
96,00:00,65.0,17.0,13,1,2021,23.0,0.0,4.0,1012.0,9.0,13.0,245.8,Partly cloudy
97,03:00,69.0,16.0,13,1,2021,20.0,0.0,4.0,1011.0,9.0,14.0,353.8,Partly cloudy
98,06:00,73.0,16.0,13,1,2021,19.0,0.0,3.0,1013.0,11.0,17.0,351.8,Partly cloudy
99,09:00,57.0,15.0,13,1,2021,22.0,0.0,4.0,1014.0,10.0,13.0,116.6,Partly cloudy
100,12:00,43.0,15.0,13,1,2021,27.0,0.0,6.0,1012.0,8.0,9.0,235.8,Partly cloudy
101,15:00,35.0,14.0,13,1,2021,29.0,0.0,6.0,1009.0,9.0,10.0,127.3,Partly cloudy
102,18:00,45.0,14.0,13,1,2021,28.0,0.0,6.0,1010.0,6.0,9.0,51.9,Partly cloudy
103,21:00,51.0,14.0,13,1,2021,26.0,0.0,6.0,1011.0,3.0,5.0,108.1,Partly cloudy
104,00:00,61.0,14.0,14,1,2021,24.0,0.0,4.0,1012.0,3.0,4.0,210.8,Partly cloudy
105,03:00,78.0,15.0,14,1,2021,22.0,0.0,6.0,1011.0,4.0,6.0,333.1,Partly cloudy
106,06:00,78.0,15.0,14,1,2021,20.0,0.0,5.0,1011.0,7.0,10.0,353.3,Partly cloudy
107,09:00,61.0,15.0,14,1,2021,24.0,0.0,4.0,1013.0,5.0,6.0,327.5,Partly cloudy
108,12:00,48.0,15.0,14,1,2021,29.0,0.0,4.0,1011.0,2.0,3.0,128.8,Partly cloudy
109,15:00,48.0,16.0,14,1,2021,32.0,0.0,3.0,1009.0,3.0,4.0,56.0,Partly cloudy
110,18:00,54.0,16.0,14,1,2021,29.0,0.0,5.0,1010.0,6.0,10.0,128.1,Partly cloudy
111,21:00,69.0,18.0,14,1,2021,25.0,0.0,5.0,1012.0,12.0,19.0,175.8,Partly cloudy
112,00:00,78.0,18.0,15,1,2021,24.0,0.0,4.0,1012.0,10.0,14.0,173.1,Partly cloudy
113,03:00,88.0,18.0,15,1,2021,22.0,0.0,9.0,1010.0,5.0,6.0,223.4,Partly cloudy
114,06:00,94.0,17.0,15,1,2021,22.0,0.0,11.0,1011.0,2.0,2.0,263.8,Partly cloudy
115,09:00,69.0,19.0,15,1,2021,25.0,0.0,14.0,1012.0,2.0,3.0,292.3,Partly cloudy
116,12:00,55.0,18.0,15,1,2021,29.0,0.0,22.0,1011.0,8.0,9.0,339.3,Partly cloudy
117,15:00,51.0,18.0,15,1,2021,32.0,0.0,13.0,1008.0,6.0,7.0,135.6,Partly cloudy
118,18:00,65.0,19.0,15,1,2021,30.0,0.0,6.0,1009.0,5.0,7.0,120.5,Partly cloudy
119,21:00,74.0,20.0,15,1,2021,27.0,0.0,15.0,1010.0,12.0,18.0,159.1,Partly cloudy
120,00:00,74.0,19.0,16,1,2021,24.0,0.0,3.0,1010.0,15.0,22.0,165.0,Partly cloudy
121,03:00,88.0,20.0,16,1,2021,22.0,0.0,11.0,1010.0,8.0,12.0,213.3,Partly cloudy
122,06:00,94.0,20.0,16,1,2021,22.0,0.0,19.0,1011.0,5.0,7.0,235.3,Partly cloudy
123,09:00,74.0,20.0,16,1,2021,25.0,0.0,41.0,1012.0,5.0,6.0,248.7,Partly cloudy
124,12:00,46.0,17.0,16,1,2021,30.0,0.0,21.0,1010.0,8.0,9.0,310.2,Partly cloudy
125,15:00,43.0,17.0,16,1,2021,32.0,0.0,14.0,1007.0,9.0,10.0,112.9,Partly cloudy
126,18:00,51.0,16.0,16,1,2021,31.0,0.0,9.0,1008.0,8.0,11.0,19.4,Partly cloudy
127,21:00,65.0,18.0,16,1,2021,28.0,0.0,9.0,1010.0,15.0,23.0,115.1,Partly cloudy
128,00:00,78.0,20.0,17,1,2021,25.0,0.0,6.0,1011.0,14.0,21.0,152.3,Partly cloudy
129,03:00,83.0,20.0,17,1,2021,23.0,0.0,9.0,1010.0,6.0,9.0,193.5,Partly cloudy
130,06:00,100.0,21.0,17,1,2021,23.0,0.0,15.0,1012.0,4.0,5.0,296.2,Partly cloudy
131,09:00,79.0,21.0,17,1,2021,26.0,0.0,38.0,1013.0,9.0,11.0,347.0,Partly cloudy
132,12:00,55.0,19.0,17,1,2021,30.0,0.0,19.0,1012.0,15.0,17.0,129.5,Partly cloudy
133,15:00,41.0,17.0,17,1,2021,33.0,0.0,14.0,1009.0,14.0,17.0,25.3,Partly cloudy
134,18:00,70.0,21.0,17,1,2021,30.0,0.0,17.0,1010.0,14.0,23.0,26.3,Partly cloudy
135,21:00,74.0,20.0,17,1,2021,26.0,0.0,20.0,1013.0,14.0,23.0,66.1,Partly cloudy
136,00:00,78.0,20.0,18,1,2021,24.0,0.0,16.0,1014.0,15.0,25.0,49.5,Partly cloudy
137,03:00,83.0,21.0,18,1,2021,22.0,0.0,13.0,1013.0,18.0,30.0,36.2,Partly cloudy
138,06:00,94.0,21.0,18,1,2021,21.0,0.0,8.0,1014.0,18.0,31.0,36.3,Partly cloudy
139,09:00,51.0,15.0,18,1,2021,25.0,0.0,3.0,1015.0,26.0,33.0,39.7,Partly cloudy
140,12:00,38.0,14.0,18,1,2021,29.0,0.0,2.0,1013.0,27.0,32.0,35.5,Partly cloudy
141,15:00,33.0,14.0,18,1,2021,31.0,0.0,6.0,1010.0,24.0,29.0,33.9,Partly cloudy
142,18:00,62.0,19.0,18,1,2021,29.0,0.0,3.0,1010.0,17.0,28.0,33.6,Partly cloudy
143,21:00,74.0,20.0,18,1,2021,25.0,0.0,2.0,1012.0,12.0,21.0,63.2,Clear
144,00:00,54.0,14.0,19,1,2021,23.0,0.0,2.0,1012.0,8.0,12.0,71.4,Partly cloudy
145,03:00,65.0,15.0,19,1,2021,22.0,0.0,1.0,1011.0,7.0,8.0,256.7,Clear
146,06:00,69.0,15.0,19,1,2021,19.0,0.0,11.0,1012.0,10.0,15.0,356.2,Partly cloudy
147,09:00,48.0,14.0,19,1,2021,23.0,0.0,24.0,1013.0,10.0,13.0,344.3,Partly cloudy
148,12:00,40.0,14.0,19,1,2021,28.0,0.0,31.0,1012.0,10.0,11.0,327.8,Partly cloudy
149,15:00,31.0,12.0,19,1,2021,30.0,0.0,39.0,1009.0,7.0,8.0,333.8,Partly cloudy
150,18:00,51.0,18.0,19,1,2021,28.0,0.0,35.0,1009.0,5.0,8.0,269.4,Partly cloudy
151,21:00,69.0,19.0,19,1,2021,25.0,0.0,41.0,1011.0,8.0,15.0,247.4,Partly cloudy
152,00:00,53.0,13.0,20,1,2021,24.0,0.0,41.0,1012.0,6.0,11.0,272.5,Partly cloudy
153,03:00,60.0,13.0,20,1,2021,23.0,0.0,30.0,1011.0,6.0,10.0,310.3,Partly cloudy
154,06:00,69.0,14.0,20,1,2021,22.0,0.0,19.0,1012.0,8.0,12.0,327.3,Partly cloudy
155,09:00,57.0,14.0,20,1,2021,25.0,0.0,15.0,1013.0,11.0,14.0,338.4,Partly cloudy
156,12:00,48.0,16.0,20,1,2021,30.0,0.0,13.0,1011.0,11.0,13.0,347.7,Partly cloudy
157,15:00,51.0,17.0,20,1,2021,32.0,0.0,18.0,1008.0,10.0,12.0,352.8,Partly cloudy
158,18:00,57.0,16.0,20,1,2021,30.0,0.0,21.0,1008.0,7.0,11.0,351.8,Partly cloudy
159,21:00,78.0,20.0,20,1,2021,28.0,0.0,28.0,1010.0,3.0,5.0,228.9,Partly cloudy
160,00:00,74.0,19.0,21,1,2021,25.0,0.0,41.0,1011.0,6.0,10.0,206.2,Partly cloudy
161,03:00,83.0,20.0,21,1,2021,24.0,0.0,30.0,1010.0,6.0,10.0,206.5,Partly cloudy
162,06:00,83.0,19.0,21,1,2021,23.0,0.0,17.0,1010.0,7.0,10.0,239.1,Partly cloudy
163,09:00,74.0,21.0,21,1,2021,27.0,0.0,19.0,1011.0,10.0,12.0,295.4,Partly cloudy
164,12:00,46.0,18.0,21,1,2021,31.0,0.0,19.0,1010.0,13.0,15.0,105.8,Partly cloudy
165,15:00,43.0,17.0,21,1,2021,32.0,0.0,27.0,1007.0,10.0,12.0,29.5,Partly cloudy
166,18:00,48.0,17.0,21,1,2021,30.0,0.0,23.0,1007.0,8.0,12.0,81.3,Partly cloudy
167,21:00,84.0,23.0,21,1,2021,28.0,0.0,28.0,1009.0,12.0,19.0,141.2,Partly cloudy
168,00:00,89.0,23.0,22,1,2021,25.0,0.0,28.0,1009.0,13.0,20.0,166.5,Partly cloudy
169,03:00,89.0,23.0,22,1,2021,24.0,0.0,22.0,1008.0,8.0,11.0,176.0,Partly cloudy
170,06:00,94.0,23.0,22,1,2021,23.0,0.0,33.0,1009.0,9.0,13.0,182.8,Partly cloudy
171,09:00,66.0,20.0,22,1,2021,27.0,0.0,41.0,1011.0,11.0,14.0,207.5,Partly cloudy
