Time,Day,Month,Year,Humidity,Dew point,Temperature,Rain,Cloud,Pressure,Wind,Gust,Dir,Weather
00:00,1,1,2020,65.0,19.0,27.0,0.0,10.0,1015.0,8.0,11.0,46.6,Partly cloudy
03:00,1,1,2020,69.0,19.0,25.0,0.0,19.0,1014.0,8.0,13.0,26.9,Partly cloudy
06:00,1,1,2020,78.0,18.0,24.0,0.0,10.0,1015.0,8.0,11.0,29.2,Partly cloudy
09:00,1,1,2020,55.0,19.0,29.0,0.0,5.0,1016.0,7.0,8.0,66.7,Partly cloudy
12:00,1,1,2020,30.0,14.0,34.0,0.0,8.0,1015.0,10.0,11.0,73.0,Partly cloudy
15:00,1,1,2020,30.0,14.0,35.0,0.0,12.0,1012.0,10.0,12.0,85.7,Partly cloudy
18:00,1,1,2020,58.0,20.0,34.0,0.0,13.0,1013.0,10.0,14.0,119.4,Partly cloudy
21:00,1,1,2020,62.0,21.0,30.0,0.0,13.0,1014.0,8.0,12.0,82.0,Partly cloudy
00:00,2,1,2020,66.0,20.0,27.0,0.0,9.0,1016.0,7.0,10.0,42.2,Partly cloudy
03:00,2,1,2020,74.0,19.0,25.0,0.0,8.0,1015.0,6.0,10.0,30.5,Partly cloudy
06:00,2,1,2020,78.0,19.0,24.0,0.0,8.0,1015.0,8.0,11.0,42.8,Partly cloudy
09:00,2,1,2020,55.0,19.0,29.0,0.0,8.0,1016.0,9.0,11.0,58.2,Partly cloudy
15:00,2,1,2020,36.0,18.0,35.0,0.0,16.0,1011.0,9.0,10.0,97.7,Partly cloudy
18:00,2,1,2020,62.0,22.0,33.0,0.0,8.0,1012.0,9.0,10.0,147.1,Partly cloudy
21:00,2,1,2020,74.0,24.0,29.0,0.0,10.0,1014.0,8.0,11.0,121.9,Partly cloudy
00:00,3,1,2020,74.0,22.0,27.0,0.0,26.0,1015.0,10.0,14.0,95.9,Partly cloudy
03:00,3,1,2020,83.0,21.0,26.0,0.0,8.0,1014.0,8.0,10.0,68.6,Partly cloudy
06:00,3,1,2020,83.0,21.0,25.0,0.0,23.0,1014.0,7.0,9.0,34.7,Partly cloudy
09:00,3,1,2020,62.0,20.0,29.0,0.0,14.0,1015.0,5.0,6.0,34.4,Partly cloudy
12:00,3,1,2020,43.0,18.0,34.0,0.0,8.0,1013.0,4.0,5.0,21.4,Partly cloudy
15:00,3,1,2020,38.0,17.0,35.0,0.0,15.0,1010.0,4.0,4.0,238.2,Partly cloudy
18:00,3,1,2020,55.0,19.0,34.0,0.0,14.0,1011.0,7.0,9.0,228.1,Partly cloudy
21:00,3,1,2020,70.0,22.0,31.0,0.0,17.0,1012.0,8.0,12.0,145.3,Partly cloudy
00:00,4,1,2020,89.0,24.0,28.0,0.0,11.0,1014.0,3.0,4.0,253.5,Partly cloudy
03:00,4,1,2020,89.0,22.0,25.0,0.0,9.0,1012.0,4.0,5.0,330.2,Partly cloudy
06:00,4,1,2020,89.0,22.0,24.0,0.0,12.0,1013.0,5.0,6.0,119.5,Partly cloudy
09:00,4,1,2020,74.0,21.0,28.0,0.0,8.0,1014.0,5.0,5.0,210.6,Partly cloudy
12:00,4,1,2020,41.0,17.0,33.0,0.0,8.0,1012.0,2.0,3.0,308.5,Partly cloudy
15:00,4,1,2020,41.0,18.0,34.0,0.0,18.0,1009.0,3.0,3.0,225.7,Partly cloudy
18:00,4,1,2020,62.0,21.0,31.0,0.0,25.0,1010.0,10.0,13.0,162.8,Partly cloudy
21:00,4,1,2020,70.0,21.0,27.0,0.0,30.0,1012.0,6.0,9.0,141.2,Partly cloudy
00:00,5,1,2020,89.0,23.0,26.0,0.0,16.0,1012.0,3.0,3.0,213.5,Partly cloudy
03:00,5,1,2020,94.0,23.0,25.0,0.0,5.0,1011.0,3.0,4.0,309.2,Partly cloudy
06:00,5,1,2020,83.0,20.0,26.0,0.0,1.0,1012.0,2.0,2.0,161.0,Partly cloudy
09:00,5,1,2020,70.0,21.0,29.0,0.0,2.0,1014.0,6.0,6.0,204.7,Clear
12:00,5,1,2020,58.0,20.0,33.0,0.0,1.0,1012.0,8.0,9.0,277.4,Partly cloudy
15:00,5,1,2020,41.0,17.0,35.0,0.0,4.0,1010.0,5.0,5.0,283.3,Clear
18:00,5,1,2020,66.0,21.0,32.0,0.0,4.0,1010.0,8.0,11.0,202.3,Partly cloudy
21:00,5,1,2020,62.0,19.0,28.0,0.0,5.0,1012.0,10.0,14.0,151.1,Partly cloudy
00:00,6,1,2020,83.0,22.0,26.0,0.0,3.0,1012.0,5.0,6.0,73.7,Partly cloudy
03:00,6,1,2020,94.0,22.0,27.0,0.0,1.0,1012.0,4.0,4.0,245.3,Partly cloudy
06:00,6,1,2020,89.0,21.0,25.0,0.0,7.0,1013.0,6.0,8.0,127.7,Clear
09:00,6,1,2020,62.0,20.0,27.0,0.0,13.0,1014.0,10.0,12.0,234.6,Partly cloudy
12:00,6,1,2020,46.0,19.0,32.0,0.0,35.0,1012.0,9.0,11.0,349.8,Partly cloudy
15:00,6,1,2020,43.0,18.0,33.0,0.0,44.0,1010.0,4.0,5.0,185.2,Partly cloudy
18:00,6,1,2020,59.0,21.0,32.0,0.0,30.0,1010.0,9.0,14.0,132.7,Partly cloudy
21:00,6,1,2020,66.0,21.0,28.0,0.0,30.0,1012.0,12.0,19.0,144.7,Partly cloudy
00:00,7,1,2020,74.0,22.0,27.0,0.0,27.0,1012.0,7.0,11.0,115.7,Partly cloudy
03:00,7,1,2020,79.0,22.0,25.0,0.0,28.0,1011.0,5.0,8.0,78.6,Partly cloudy
06:00,7,1,2020,89.0,23.0,25.0,0.0,19.0,1012.0,6.0,8.0,39.7,Partly cloudy
09:00,7,1,2020,52.0,20.0,29.0,0.0,14.0,1012.0,8.0,9.0,9.4,Partly cloudy
